Gender,Age,Popular Website,Proficiency,Medium,Location,Household Internet Facilities,Browse Time,Browsing Status,Residence,Total Internet Usage(hrs/day),Time Spent in Academic(hrs/day),Purpose of Use,Years of Internet Use,Browsing Purpose,Priority of Learning,Webinar,Internet Usage For Educational Purpose,Academic Performance,Obstacles
Male,14,Google,Very Good,Mobile,Home,Not Connected,Day,Daily,Village,1,4,Education,3,Academic,Academic Learning,No,Courses Available on specific topics,Satisfactory,High Price
Male,15,Youtube,Very Good,Mobile,Home,Not Connected,Night,Daily,Village,8,2,Entertainment,2,Academic,Leadership Development,No,Courses Available on specific topics,Not Satisfactory,High Price
Female,14,Facebook,Very Good,Mobile,Home,Not Connected,Night,Weekly,Village,5,0,News,4,Non-academic,Creativity and Innovative Skills,No,Articles or Blogs related to non-academical studies,Average,Unavailability
Male,14,Google,Very Good,Mobile,School,Not Connected,Night,Weekly,Town,3,6,Education,3,Academic,Career Opportunity,No,Articles or Blogs related to academical studies,Good,Bad Service
Female,14,Google,Average,Laptop and Mobile,Home,Not Connected,Midnight,Daily,Town,8,2,Online Shopping,4,Non-academic,Non-academic Learning,No,Articles or Blogs related to non-academical studies,Average,Bad Service
Male,15,Facebook,Very Good,Mobile,Home,Not Connected,Night,Daily,Town,1,5,Education,3,Academic,Academic Learning,No,Notes or lectures for academical purpose,Good,High Price
Female,14,Whatsapp,Very Good,Mobile,Home,Not Connected,Night,Monthly,Town,2,8,Education,1,Academic,Academic Learning,No,Articles or Blogs related to academical studies,Good,Bad Service
Male,14,Whatsapp,Average,Mobile,Home,Not Connected,Night,Weekly,Town,2,7,Education,1,Academic,Academic Learning,No,E-books or other Media files,Good,Bad Service
Male,17,Youtube,Very Good,Laptop and Mobile,Cyber Cafe,Not Connected,Night,Daily,Village,2,2,Entertainment,2,Academic,Creativity and Innovative Skills,No,Articles or Blogs related to academical studies,Good,Bad Service
Female,14,Youtube,Average,Mobile,Home,Not Connected,Night,Daily,Town,1,8,Education,2,Academic,Career Opportunity,No,Notes or lectures for academical purpose,Good,High Price
Female,15,Whatsapp,Average,Laptop and Mobile,Home,Not Connected,Night,Daily,Town,2,6,Education,1,Academic,Academic Learning,No,Articles or Blogs related to academical studies,Good,Bad Service
Male,14,Google,Not at all,Mobile,Cyber Cafe,Connected,Night,Weekly,Town,3,8,Education,3,Academic,Career Opportunity,No,Articles or Blogs related to academical studies,Good,Bad Service
Female,14,Youtube,Very Good,Mobile,Home,Not Connected,Night,Weekly,Town,6,1,Entertainment,4,Academic,Academic Learning,No,Notes or lectures for academical purpose,Average,Bad Service
Male,15,Google,Not at all,Mobile,Home,Not Connected,Night,Daily,Town,7,2,Entertainment,1,Non-academic,Communication Skills,No,E-books or other Media files,Not Satisfactory,Bad Service
Male,14,Google,Very Good,Mobile,Home,Not Connected,Night,Daily,Remote,2,7,Entertainment,1,Academic,Career Opportunity,No,Notes or lectures for academical purpose,Good,Bad Service
